id,title,content
AMA-0000012,Property in Socorro,"Property on sale is situated in Socorro which is a minutes drive to Porvorim, has a 10 mtr road access, the said plot is big enough to put up atleast 4 villas with their own private space, plunge pool, parking, private garden etc. Seems commercially viable as its very close to Porvorim and less than 10 mins from Panjim, yet located in a quant location with beautiful greenery in the property itself swell as the surrounding.;Location: Socorro, Porvorim;Size: 1975 sq.mts;Price: 25000 per sq.mt;Ref Id: AMA-0000012"
AMA-0000013,Field View Property for Sale,"Property on sale is located in the heart of Nerul, 10 mins from Candolim and Calangute beaches, 5 mins from Coco beach & Reis Magos, This plot has an entire side hugging the fields assuring a good view no matter what project and has the main road running along the other side.;The plot falls in Nehrul which will be perfect for any type of commercial or residential project as its relatively close to Panjim but very close (5-10km) to the nearest beaches, namely Candolim & Calangute, being so close to the commercial belt there are many viable and feasible options to look ahead for this property. The owner of the property has also gone ahead and done the conversion sanad which will make it easier to the new owner.;Location: Nehrul, Candolim;Size: 2400 sq.mts;Price: 6 cr, negotiable;Ref Id: AMA-0000013"
AMA-0000014,Shop / Office space for Sale,"Location: Porvorim;Price: 27 lakhs, negotiable.;Shop / Commercial space / Office is Unfurnished with 1 ready cabin. The building is close to Mall de Goa and the said space being on the second floor, faces the highway which In turn will provide maximum exposure to the main highway as the Window area can be used for Branding/billboard etc.;The space offers a 27 sq.mt double height, approximately 40 sq.mt in total, with a mezzanine floor.;Ref Id: AMA-0000014"
AMA-0000015,Field and River view Property,"Location: Aldona;Area: 400 sqmtr
Price: 8000/- per sqmt;Property has Field and River view with an old settlement and has a 3 mtr road access, secluded comfortably in the village of Aldona, 10 minutes from Mapusa City and Porvorim, this plot is ideal for a home/Villa for residential or even commercial (long term rentals).;Ref Id: AMA-0000015"
AMA-0000016,Villas for Sale,"Just 2 Villas Available!;Location: Old Goa;Price: 1.35cr each, negotiable.;Located in the quaint area of Old Goa, with Panjim just a 10 minute drive away. This location is also close to many of the major tourists attractions that are situated in Old Goa like the Basilica of Bom Jesus, Se Cathedral, Christian Art Museum and so on. Each villa has a view of the greenery around and the plot has two roads along two sides.;Villa Categories:;(1) Villa Type ‘A1’:;Built up 179.38 sq.mts, garage 15.58 sq.mts, garden 112 sq.mts.;(2) Villa ‘B’:;Built up 199.39 sq.mts, garage 14.28 sq.mts, garden 247.55 sq.mt.;Facilities Provided:;-Fully air conditioned villas;-Power back up;-Modular kitchen;-Inverter;-Refrigerator;-Parking;Ref Id: AMA-0000016"
AMA-0000020,Plot in Pilerne for sale,"The Plot for Sale located nicely within the village of Pilerne, with a breathtaking view of the fields which also borders the north side of the property with greenery on most of the surroundings, with just a couple of small high end projects along this stretch.;It is a settlement property with the main road touching running along two sides of the property. which will allow easy access in and out for any type of project such a commercial apartment or villa set up with ample of open areas but with the unique selling point being the location and above all the view.; ;Location: Pilern
Size: 4500 sq.mt approx
Price: 9cr (20000 per m2 negotiable);Ref Id: AMA-0000020; "
AMA-0000023,Apartments for Sale,"Complex in Siolim Of 36 apartments of Both 1 BHK and 2 BHK which vary in sizes and prices.;1) 1 BHK ranges from 620 SQ FT (60 sq.mt) Carpet Area which starts from 48 Lakhs, to 685 SQ FT (66 sq.mt) ) going till 53 Lakhs.;2) 2 BHK varies from 745 SQ FT (72 sq.mt) Carpet Area which is starting from 57 Lakhs, to 895 SQ FT (87 sq.mt) going till 70 Lakhs.;The Basic Cost per SQ FT is RS 6700 . GST would be applied at 12 % with Electric Meter Installation Charges at RS 25000 and Lawyers Fees at RS 10,000.;Private terrace is available to all flat for which the buyers will have to pay If they want to purchase the Private Terraces The cost per terrace for 1 BHK will be 5 Lakhs and private terrace for 2 BHK will be 8 Lakhs.;There are total of more than 24 parking , the buyers for the 2 BHK will get free covered parking and the buyers for 1 BHK will have to pay for the parking . the cost of parking is 2 Lakhs.;Facilities provided:
-Swimming Pool
-Club house Lounge
-Gymnasium
-Badminton Court
-24hr Security
-Stilt Parking;Ref Id: AMA-0000023"
AMA-0000024,Town Houses for Sale,"3 ‘Town Houses’ for sale, all are 3 Bedroom houses (3BHK);Following are the Facilities provided in each ‘Town House’;-Ground Floor: we have the Living / dining area with a powder room at the end where we have the kitchen and store aswell. Theres a balcony in front and aprivate garden at the back of the house.;-First Floor : 2 bedrooms both with an en suite (attached bathroom) aswell as balconies.
There is a pantry fitted for washing m/c and dryer.;-Second Floor : Master Bedroom with an en suite and an attached balcony;-Maids quarters/room with toilet.
-2 wardrobes in each bedroom.
-Car park
-Geysers and exhaust fans installed in all bathrooms.;Other Facilities provided:
-Gated with 24/7 security guards.
-Manager on site with proper maintenance team of Gardner, pool attendant etc.
-Intercom connected to security guard and manager is provided.
-Invertor installed for 1 light, 1 fan in all rooms during shortage.
-Water filtration installed in kitchen cabinets in all homes.
-Cooking range and hob.
-Common swimming pool and gazebo.;Ref Id: AMA-0000024"
AMA-0000026,Prime Property in Anjuna,"This prime property is placed right on Starco junction, a prime area of Anjuna which is the main junction of this area and will be ever present for any commercial project that wishes to be set up here. has a good view of the hills and will also get a glimpse of the Horizon from 1 st floor above.;This plot currently has an Existing house, well maintained with a well and an outhouse.;A short walk to the vagator cliff and a minutes drive to the beach, this property is located in prime area of Anjuna and the gradient of the land being flat, there should not be any problems erecting a commercial structure.;Location: Anjuna
Size: 1350 sq.mt
Price: 5.25 cr non negotiable;Ref Id:  AMA-0000026; "
AMA-0000027,"High-end Furnished Villa, Siolim","First of all the most noteworthy detail about this Villa is that, it has been personally decorated by the owner as a result we get a personal touch from the beautiful wooden furniture and decor, with bright and vibrant colours while the walls are finished with subdued colour tones while attention to detail has also been given to the flooring, with each bedroom opening up to the wilderness behind, a beautiful view rather than a noisy bustling street.;Facilities Provided:;-Fully furnished, Bedrooms with attached balconies. Ground floor plus one.
-Situated in a gated complex, 24 hr security.
-Common swimming pool.
-Private drive way for 1 car. Open parking.
-Management for maintenance.;Location: Siolim
Size: 233 sq.mt
Rooms: 4
Price: 3.25 cr; ;Ref Id: AMA-0000027; "
AMA-0000028,"Apartments for sale, Baga","Though this property is nestled in the heart of Baga this project is in the most quaint area in contrast leaving you with peace and privacy, also, as a result its just a 2 min drive to Baga beach, Tito’s lane, and consequently 2-4 km drive to the Calangute and Candolim beaches as well, with plenty to offer.;This gated complex has 24 hour security, Management, holiday home feel having most of the balconies facing the swimming pool, a non perennial pond just outside with vast greenery.;Facilities Provided:;– Gated complex with 24 hr security.
– Common swimming pool.
– Parking for residence.
– Back up generator for the apartments as well as the common areas.
– Solar heaters therefore 24 hr hot water.
– Service Management facilities also available for after sale revenue.Location: Baga
Price: 1,20,000 per sq.mt (negotiable)Size: (Options)
– 1 BHK apartment. (2 AVAILABLE). Both measure 38.5 sq.mts.
– 1 BHK apartment. (2 AVAILABLE). Both measure 62 sq.mts.
; ;Ref Id: AMA-0000028"
